,,,1. INBOUND TOURISM: Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World Tourism Organization (2023), UNWTO Tourism Statistics Database, Madrid, data updated on 24/11/2023. More information:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.unwto.org/tourism-statistics/tourism-statistics-database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.1,31-1.1,,,Total arrivals,,,Thousands,,VF,93,210,306,483,602,681,767,834,"1,038","1,279","1,177","1,194","1,333","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,006","2,249","2,697","2,850","3,170",796,792,"1,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.2,31-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,..,..,..,..,..,..,..,576,768,989,693,682,732,"1,043","1,005","1,280","1,562","1,986","2,130","2,160","1,922","2,044","2,454","2,633","2,876",587,..,"1,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.3,31-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,258,270,290,484,512,601,856,825,683,677,498,379,138,84,204,243,216,294,209,..,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.4,31-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.1,44-1.1,,,Total arrivals,,,Thousands,,VF,"3,239","3,416","3,446","3,348","3,648","4,204","4,183","4,406","4,594","5,004","4,779","4,731","4,601","4,394","4,645","5,255","5,588","5,940","6,151","6,320","6,112","6,265","6,136","6,622","7,250","1,795","2,101","7,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.2,44-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,"1,598","1,633","1,618","1,528","1,577","1,544","1,538","1,513","1,505","1,561","1,625","1,613","1,538","1,469","1,336","1,378","1,355","1,431","1,377","1,444","1,496","1,499","1,452","1,633","1,807",441,892,"1,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.3,44-1.3,,,,Same-day visitors (excursionists),,Thousands,,,"1,640","1,785","1,828","1,820","2,071","2,660","2,645","2,893","3,089","3,443","3,154","3,118","3,063","2,925","3,309","3,877","4,233","4,509","4,774","4,876","4,616","4,766","4,684","4,990","5,444","1,354","1,209","5,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.4,44-1.4,,,,,"of which, cruise passengers",Thousands,,,"1,543","1,686","1,751","1,730","1,981","2,513","2,552","2,802","2,970","3,360","3,079","3,079","2,971","2,861","3,256","3,810","4,161","4,434","4,709","4,805","4,513","4,690","4,626","4,878","5,433","1,327","1,115","5,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
